Country,Sex,Age,Date,CumEpi,CumExc,CumPos,Exposure
Mexico,f,85,2020-03-08,0,-224.3289189926079,0,13826.594050260275
Mexico,f,85,2020-03-15,0,-310.18782639465053,0,20742.74491846867
Mexico,f,85,2020-03-22,0,-483.2870614620949,0,27660.79711015226
Mexico,f,85,2020-03-29,0,-628.2334797549554,0,34580.749704354166
Mexico,f,85,2020-04-05,0,-769.660610677308,0,41502.601786498206
Mexico,f,85,2020-04-12,0,-956.234385921299,0,48426.352448388876
Mexico,f,85,2020-04-19,0,-1078.6582232247642,0,55352.00078821136
Mexico,f,85,2020-04-26,0,-1199.6773820225462,0,62279.545910531524
Mexico,f,85,2020-05-03,0,-1302.0825296858995,0,69208.98692629594
Mexico,f,85,2020-05-10,0,-1370.7124796811877,0,76140.32295283183
Mexico,f,85,2020-05-17,0,-1362.4560851024694,8.256394578718073,83073.55311384717
Mexico,f,85,2020-05-24,100.20279338789953,-1262.25329171457,108.4591879666176,90008.67653943054
Mexico,f,85,2020-05-31,194.36071198877983,-1168.0953731136897,202.6171065674979,96945.69236605127
Mexico,f,85,2020-06-07,353.4316988079147,-1009.0243862945548,361.6880933866328,103884.59973655934
Mexico,f,85,2020-06-14,550.324186662293,-812.1318984401765,558.580581241011,110825.39780018543
Mexico,f,85,2020-06-21,780.8990401336195,-581.55704496885,789.1554347123375,117768.08571254091
Mexico,f,85,2020-06-28,1002.9721002731366,-359.48398482933294,1011.2284948518546,124712.66263561783
Mexico,f,85,2020-07-05,1210.3172221534896,-152.13886294897986,1218.5736167322077,131659.1281525391
Mexico,f,85,2020-07-12,1511.669819058467,149.21373395599755,1519.9262136371851,138607.4822633048
Mexico,f,85,2020-07-19,1779.7308445439407,417.27475944147136,1787.987239122659,145557.7249679148
Mexico,f,85,2020-07-26,2029.1710668992519,666.7149817967825,2037.4274614779702,152509.8562663692
Mexico,f,85,2020-08-02,2254.635618693239,892.1795335907697,2262.8920132719572,159463.87615866796
Mexico,f,85,2020-08-09,2433.748767815996,1071.2926827135266,2442.0051623947143,166419.7846448111
Mexico,f,85,2020-08-16,2578.118861659988,1215.6627765575186,2586.3752562387062,173377.58172479857
Mexico,f,85,2020-08-23,2662.343400825639,1299.8873157231696,2670.599795404357,180337.26739863044
Mexico,f,85,2020-08-30,2766.014202582209,1403.5581174797392,2774.2705971609266,187298.84166630666
Mexico,f,85,2020-09-06,2888.722616949145,1526.2665318466757,2896.9790115278633,194262.30452782725
Mexico,f,85,2020-09-13,2888.722616949145,1566.6086743677645,2937.321154048952,201227.6559831922
Mexico,f,85,2020-09-20,2888.722616949145,1623.1906393199242,2993.903119001112,208194.89603240154
Mexico,f,85,2020-09-27,2888.722616949145,1634.6336552298658,3005.3461349110535,215164.02467545524
Mexico,f,85,2020-10-04,2888.722616949145,1660.5791412742751,3031.291620955463,222135.0419123533
Mexico,f,85,2020-10-11,2888.722616949145,1677.6936186299276,3048.4060983111153,229107.94774309572
Mexico,f,85,2020-10-18,2888.722616949145,1730.6734254388898,3101.3859051200775,236082.74216768253
Mexico,f,85,2020-10-25,2888.722616949145,1723.2491781735796,3101.3859051200775,243059.4251861137
Mexico,f,85,2020-11-01,3000.66335509493,1835.1899163193646,3213.3266432658625,250037.9967983892
Mexico,f,85,2020-11-08,3142.7803007670564,1977.3068619914911,3355.443588937989,257018.4570045091
Mexico,f,85,2020-11-15,3270.9301607331818,2105.456721957616,3483.593448904114,264000.80580447335
Mexico,f,85,2020-11-22,3399.0178959175687,2233.544457142003,3611.681184088501,270985.043198282
Mexico,f,85,2020-11-29,3542.998883384015,2377.525444608449,3755.6621715549472,277971.169185935
Mexico,f,85,2020-12-06,3712.88039852949,2547.406959753924,3925.543686700422,284959.18376743235
Mexico,f,85,2020-12-13,3930.7223511587285,2765.248912383163,4143.385639329661,291949.08694277407
Mexico,f,85,2020-12-20,4147.637218492933,2982.163779717368,4360.300506663866,298940.87871196016
Mexico,f,85,2020-12-27,4454.789131052907,3289.315692277341,4667.452419223839,305934.5590749906
Mexico,f,85,2021-01-03,4614.392083599039,3448.918644823474,4827.055371769971,312930.12803186546
Mexico,f,85,2021-01-10,4614.392083599039,2709.2338237607623,4827.055371769971,319927.58558258467
Mexico,f,85,2021-01-17,4614.392083599039,1966.5660640331712,4827.055371769971,326926.93172714824
Mexico,f,85,2021-01-24,4614.392083599039,1221.2594717418074,4827.055371769971,333928.16646555613
Mexico,f,85,2021-01-31,4614.392083599039,473.69227256094575,4827.055371769971,340931.28979780845
Mexico,f,85,2021-02-07,4614.392083599039,-275.72903058517477,4827.055371769971,347936.30172390514
Mexico,f,85,2021-02-14,4614.392083599039,-1026.5760853142247,4827.055371769971,354943.20224384614
Mexico,f,85,2021-02-21,4614.392083599039,-1778.4055786557983,4827.055371769971,361951.9913576315
Mexico,f,85,2021-02-28,4614.392083599039,-2530.7664471824346,4827.055371769971,368962.6690652613
Mexico,f,85,2021-03-14,4614.392083599039,-3283.410171083686,4827.055371769971,375977.1239605798
Mexico,f,85,2021-03-21,4614.392083599039,-4035.6892759166285,4827.055371769971,382993.46744974266
Mexico,f,90,2020-03-01,0,-133.86982426314847,0,3220.7108939871355
Mexico,f,90,2020-03-08,0,-271.2303341085344,0,6442.129440725631
Mexico,f,90,2020-03-15,0,-448.5411706529092,0,9664.254999033512
Mexico,f,90,2020-03-22,0,-633.2851824254001,0,12887.086927811366
Mexico,f,90,2020-03-29,0,-827.9773523476879,0,16110.624586042342
Mexico,f,90,2020-04-05,0,-1006.172915443313,0,19334.86733279215
Mexico,f,90,2020-04-12,0,-1166.4744883473443,0,22559.814527209066
Mexico,f,90,2020-04-19,0,-1298.5380733105198,0,25785.46552852392
Mexico,f,90,2020-04-26,0,-1430.0778445699457,0,29011.819696050115
Mexico,f,90,2020-05-03,0,-1547.8696709244928,0,32238.87638918361
Mexico,f,90,2020-05-10,0,-1663.7533724823345,0,35466.63496740292
Mexico,f,90,2020-05-17,0,-1727.6337495494088,0,38695.09479026913
